via,zona,numeri,citta
SALVINI GUSTAVO ,27 - B,TUTTI,PISA
SAN BARTOLOMEO ,30 - B,TUTTI,PISA
SAN BENEDETTO ,1 - A,TUTTI,PISA
SAN BERNARDO ,2 - B,TUTTI,PISA
SAN BIAGIO ,13 - A,TUTTI,PISA
SAN BONAVENTURA ,1 - A,TUTTI,PISA
SAN CATALDO ,14 - A,TUTTI,PISA
SAN CONCORDIO ,30 - B,TUTTI,PISA
SAN COSIMO ,3 - B,TUTTI,PISA
SAN DOMENICO ,2 - B,TUTTI,PISA
SAN DONATO ,10 - A,TUTTI,CASCINA
SAN DONATO ,41 - B,TUTTI,CALCI
SAN DONNINO ,1 - A,TUTTI,PISA
SAN ERMOLAO ,41 - B,TUTTI,CALCI
SAN FELICE DI NOLA ,16 - B,TUTTI,PISA
SAN FRANCESCO ,18 - B,TUTTI,PISA
SAN FRANCESCO ,18 - B,TUTTI,PISA
SAN FRANCESCO ,44,52,PISA
SAN FRANCESCO D'ASSISI ,37 - A,TUTTI,SAN GIULIANO TERME
SAN FREDIANO ,23 - A,TUTTI,PISA
SAN FREDIANO ,34 - A,TUTTI,VECCHIANO
SAN FREDIANO ,45,4,PISA
SAN GIACOMO ,40 - B,TUTTI,SAN GIULIANO TERME
SAN GIORGIO ,23 - B,TUTTI,PISA
SAN GIOVANNI ,36 - B,TUTTI,SAN GIULIANO TERME
SAN GIOVANNI AL GATANO ,29 - A,TUTTI,PISA
SAN GIOVANNI BOSCO ,18 - A,TUTTI,PISA
SAN GIOVANNI BOSCO ,44,43,PISA
SAN GIUSEPPE ,23 - A,TUTTI,PISA
SAN GIUSEPPE BENEDETTO COTTOLENGO ,3 - B,TUTTI,PISA
SAN GIUSTO ,1 - B,TUTTI,PISA
SAN GUIDO ,26 - B,TUTTI,PISA
SAN JACOPO ,22 - A,TUTTI,PISA
SAN JACOPO ,50,63,PISA
SAN LORENZINO ,2 - B,TUTTI,PISA
SAN LORENZO ,18 - B,TUTTI,PISA
SAN LORENZO ,42 - B,TUTTI,CALCI
SAN LORENZO ,44,81,PISA
SAN LUCA ,16 - A,TUTTI,PISA
SAN LUCA ,41 - B,TUTTI,CALCI
SAN LUIGI ,39 - B,TUTTI,SAN GIULIANO TERME
SAN LUSSORIO ,21 - B,TUTTI,PISA
SAN MARCO ,1 - B,TUTTI,PISA
SAN MARTINO ,2 - B,TUTTI,PISA
SAN MARTINO ,2 - B,TUTTI,PISA
SAN MARTINO ,42 - B,TUTTI,CALCI
SAN MARTINO ,45,46,PISA
SAN MASSIMILIANO KOLBE ,32 - B,TUTTI,VECCHIANO
SAN MATTEO IN SOARTA ,16 - A,TUTTI,PISA
SAN MAURIZIO ,35 - A,TUTTI,VECCHIANO
SAN MICHELE DEGLI SCALZI ,4 - B,TUTTI,PISA
SAN MICHELE DEGLI SCALZI ,49,73,PISA
SAN NICOLA ,23 - B,TUTTI,PISA
SAN PAOLO ,3 - A,TUTTI,PISA
SAN PAOLO A RIPA D'ARNO ,3 - A,TUTTI,PISA
SAN PAOLO ALL'ORTO ,16 - B,TUTTI,PISA
SAN PIERINO ,16 - A,TUTTI,PISA
SAN PIERO ,42 - A,TUTTI,CALCI
SAN PIETRO ,28 - A,TUTTI,PISA
SAN PIETRO ,41 - A,TUTTI,CALCI
SAN PIO DA PIETRELCINA ,13 - A,TUTTI,PISA
SAN RANIERI ,30 - B,SNC,PISA
SAN RANIERINO ,23 - A,TUTTI,PISA
SAN ROCCO ,40 - A,DAL 1 AL 13 DAL 2 AL 14/H,SAN GIULIANO TERME
SAN ROCCO ,40 - B,DAL 13/A AL 87 DAL 16 AL 78,SAN GIULIANO TERME
SAN ROCCO ,50,22,SAN GIULIANO TERME
SAN ROSSORE ,47,SNC,PISA
SAN SEPOLCRO ,2 - B,TUTTI,PISA
SAN SILVESTRO ,17 - A,TUTTI,PISA
SAN SIMONE ,23 - A,TUTTI,PISA
SAN SISTO ,10 - B,TUTTI,CASCINA
SAN TOMMASO ,23 - A,TUTTI,PISA
SAN VITO ,19 - A,TUTTI,PISA
SAN VITO ,42 - B,TUTTI,CALCI
SAN ZENO ,18 - B,TUTTI,PISA
SAN ZENO ,39 - A,TUTTI,SAN GIULIANO TERME
SANAC ,29 - A,TUTTI,PISA
SANCASCIANI SIMONE ,2 - B,TUTTI,PISA
SANGUIGNO ,13 - A,TUTTI,PISA
SANNAZZARO ,17 - B,TUTTI,SAN GIULIANO TERME
SANTA BIBBIANA ,16 - A,TUTTI,PISA
SANTA BIBBIANA ,44,11,PISA
SANTA BONA ,1 - B,TUTTI,PISA
SANTA CATERINA ,18 - B,TUTTI,PISA
SANTA CATERINA ,18 - B,TUTTI,PISA
SANTA CATERINA ,41 - B,TUTTI,CALCI
SANTA CECILIA ,18 - B,TUTTI,PISA
SANTA CECILIA ,44,3,PISA
SANTA CROCE IN FOSSABANDA ,4 - B,TUTTI,PISA
SANTA LUCIA ,10 - B,TUTTI,CASCINA
SANTA LUCIA ,19 - A,TUTTI,PISA
SANTA LUCIA ,41 - B,TUTTI,CALCI
SANTA MARGHERITA ,23 - A,TUTTI,PISA
SANTA MARIA ,23 - B,TUTTI,PISA
SANTA MARIA ,41 - B,TUTTI,CALCI
SANTA MARIA ,45,15;53;55;67;85;155,PISA
SANTA MARIA ,45,8;36;44,PISA
SANTA MARTA ,16 - A,TUTTI,PISA
SANTA ROSA ,36 - A,TUTTI,SAN GIULIANO TERME
SANT'AGATA ,42 - B,TUTTI,CALCI
SANT'AGOSTINO ,1 - A,TUTTI,PISA
SANT'AGOSTINO ,44,69,PISA
SANT'AGOSTINO ,44,106/A,PISA
SANT'ALESSANDRA ,42 - B,TUTTI,CALCI
SANT'ALESSANDRO ,35 - B,TUTTI,VECCHIANO
SANTALLAGO ,40 - B,TUTTI,SAN GIULIANO TERME
SANT'AMBROGIO ,1 - A,TUTTI,PISA
SANT'ANDREA ,16 - A,TUTTI,PISA
SANT'ANDREA ,41 - B,SNC,CALCI
SANT'ANDREA ,41 - B,TUTTI,CALCI
SANT'ANSANO ,21 - A,TUTTI,PISA
SANT'ANSELMO ,1 - A,TUTTI,PISA
SANT'ANTONIO ,10 - B,TUTTI,CASCINA
SANT'ANTONIO ,3 - A,TUTTI,PISA
SANT'ANTONIO ,3 - A,TUTTI,PISA
SANT'ANTONIO ,36 - A,TUTTI,SAN GIULIANO TERME
SANT'APOLLINARE ,30 - B,TUTTI,PISA
SANT'APOLLONIA ,23 - A,TUTTI,PISA
SANT'ELENA ,15 - A,2; 4,SAN GIULIANO TERME
SANT'ELENA ,40 - A,DAL 1 AL 13,SAN GIULIANO TERME
SANTI EFISIO E POTITO ,1 - A,TUTTI,PISA
SANTI FERNANDO ,9 - B,TUTTI,CASCINA
SANTI MINORI ,38 - A,TUTTI,SAN GIULIANO TERME
SANTI VECCHI ,40 - B,TUTTI,SAN GIULIANO TERME
SANTISSIMA MARIA AUSILIATRICE ,27 - B,TUTTI,PISA
SANTO STEFANO ,20 - A,TUTTI,PISA
SANT'OMOBONO ,16 - B,TUTTI,PISA
SANTONI ERMENEGILDO ,42 - A,TUTTI,CALCI
SANT'ORSOLA ,16 - B,TUTTI,PISA
SANTUARIO ,35 - B,TUTTI,VECCHIANO
SANZIO RAFFAELLO ,30 - A,TUTTI,PISA
SANZIO RAFFAELLO ,40 - B,TUTTI,SAN GIULIANO TERME
SARAGAT GIUSEPPE ,2 - A,TUTTI,PISA
SARDEGNA ,27 - B,TUTTI,PISA
SARDO RANIERI ,29 - A,TUTTI,PISA
SARI ,41 - B,TUTTI,CALCI
SARPI ,22 - A,TUTTI,SAN GIULIANO TERME
SARTORI ,17 - B,TUTTI,SAN GIULIANO TERME
SARTORI DOMENICO ,13 - A,TUTTI,PISA
SASSARI ,24 - B,TUTTI,PISA
SASSOVANGELO ,38 - B,TUTTI,SAN GIULIANO TERME
SAURO NAZARIO ,24 - B,TUTTI,PISA
SAURO NAZARIO ,31 - B,TUTTI,SAN GIULIANO TERME
SAVI PAOLO ,47,TUTTI,PISA
SAVONA ,20 - B,TUTTI,PISA
SBRANA FERDINANDO ,4 - A,TUTTI,PISA
SCARAMUCCI ,2 - B,TUTTI,PISA
SCARLATTI ALESSANDRO ,40 - A,TUTTI,SAN GIULIANO TERME
SCASSATA ,41 - B,SNC,CALCI
SCAURO EMILIO ,28 - A,TUTTI,PISA
SCEPRE ,5 - A,TUTTI,PISA
SCIABOLINO ,39 - B,TUTTI,SAN GIULIANO TERME
SCIASCIA ,38 - A,TUTTI,SAN GIULIANO TERME
SCOGLIO DELLA MELORIA ,28 - B,TUTTI,PISA
SCORNIGIANA ,46,52,PISA
SCORNIGIANA ,5 - B,TUTTI,PISA
SCORNO ,12 - A,TUTTI,CASCINA
SCORNO ,12 - A,TUTTI,CASCINA
SCROCCA ,42 - B,TUTTI,CALCI
SCUOLA ,16 - A,TUTTI,PISA
SEDIO ,42 - B,TUTTI,CALCI
SELMI ,17 - B,14/C,SAN GIULIANO TERME
SELMI ,43 - A,TUTTI,SAN GIULIANO TERME
SELVA ,26 - A,TUTTI,PISA
SELVASTRELLE ,26 - A,TUTTI,PISA
SEMERARO PAOLO ,17 - A,1,PISA
SEMERARO PAOLO ,48,9,PISA
SEMINARIO ,41 - B,TUTTI,CALCI
SEMPIONE ,8 - A,TUTTI,PISA
SEPOLCRI ,6 - B,TUTTI,PISA
SERAFINI FILIPPO ,23 - B,TUTTI,PISA
SERAFINI FILIPPO ,48,3,PISA
SERANI ETTORE ,24 - B,TUTTI,PISA
SERAO MATILDE ,40 - A,TUTTI,SAN GIULIANO TERME
SERCHIO ,22 - B,TUTTI,PISA
SERCHIO ,33 - B,TUTTI,VECCHIANO
SERCHIO ,37 - B,TUTTI,SAN GIULIANO TERME
SERRATI MENOTTI GIACINTO ,31 - A,TUTTI,SAN GIULIANO TERME
SERRE ,31 - A,TUTTI,SAN GIULIANO TERME
SERRE ,34 - B,TUTTI,VECCHIANO
SESIA ,22 - B,TUTTI,PISA
SESTINI FAUSTO ,21 - B,TUTTI,PISA
SETTE VOLTE ,16 - B,TUTTI,PISA
SETTEMBRINI LUIGI ,15 - B,TUTTI,PISA
SETTEMBRINI LUIGI ,40 - B,TUTTI,SAN GIULIANO TERME
SHELLEY PERCY ,39 - B,TUTTI,SAN GIULIANO TERME
SHELLEY PERCY BYSSHE ,15 - B,TUTTI,PISA
SICILIA ,21 - A,TUTTI,PISA
SIGHIERI ETTORE ,18 - B,TUTTI,PISA
SIGNANO ,39 - A,DAL 1 AL 35 DAL 14 AL 20,SAN GIULIANO TERME
SIGNANO ,39 - B,7,SAN GIULIANO TERME
SIGNANO ,39 - B,DAL 2 AL 6/D,SAN GIULIANO TERME
SILVESTRI ,2 - B,TUTTI,PISA
SIMITERI ,5 - B,DAL 61 AL 135 DAL 70 AL 100,PISA
SIMITERI ,8 - A,DAL 1 AL 59 DAL 2 AL 68,PISA
SIMON ITALO ,13 - A,TUTTI,PISA
SIMONELLI RANIERI ,19 - A,TUTTI,PISA
SIMONELLI RANIERI ,43 - B,TUTTI,SAN GIULIANO TERME
SIMONI DARIO ,30 - B,TUTTI,PISA
SIRACUSA ,20 - B,TUTTI,PISA
SIRENETTA ,28 - B,TUTTI,PISA
SIRTORI GIUSEPPE ,6 - A,TUTTI,PISA
SLATAPER SCIPIO ,20 - A,TUTTI,PISA
SMITH WILLIAM ,19 - B,TUTTI,PISA
SOARTA ,17 - A,TUTTI,PISA
SOCCI ETTORE ,6 - A,TUTTI,PISA
SOCCI GAETANO ,10 - A,SNC,CASCINA
SODI ,35 - A,TUTTI,VECCHIANO
SOFINA ,5 - A,TUTTI,PISA
SOLARINO ALFREDO ,16 - A,TUTTI,PISA
SOLDAINI DON FRANCESCO ,10 - A,TUTTI,CASCINA
SOLFERINO ,23 - B,TUTTI,PISA
SOLFERINO ,45,11,PISA
SOMARI ,3 - B,TUTTI,PISA
SONNINO SIDNEY ,3 - A,TUTTI,PISA
SOPRA ,37 - B,4,SAN GIULIANO TERME
SOPRA ,38 - B,1;6,SAN GIULIANO TERME
SOPRA ,38 - B,TUTTI,SAN GIULIANO TERME
SORGENTI ,40 - A,DAL 1 AL 49/B DAL 2 AL 48,SAN GIULIANO TERME
SORGENTI ,40 - B,DAL 51 AL 57 DAL 50 AL 60,SAN GIULIANO TERME
SORGENTI ,42 - A,DAL 59 AL 81,SAN GIULIANO TERME
SPAVENTA ,17 - B,TUTTI,SAN GIULIANO TERME
SPEDALE ,33 - A,SNC,VECCHIANO
SPINELLO ARETINO ,19 - A,TUTTI,PISA
SPORT ,21 - B,TUTTI,PISA
SQUARTINI FRANCESCO ,5 - B,TUTTI,PISA
STALLETTE ,39 - B,TUTTI,SAN GIULIANO TERME
STALLONE ,34 - A,TUTTI,VECCHIANO
STAMPACE ,3 - A,TUTTI,PISA
STASSI ,37 - B,TUTTI,SAN GIULIANO TERME
STAZIONE ,2 - A,TUTTI,PISA
STAZIONE ,38 - B,TUTTI,SAN GIULIANO TERME
STERPULINO ,5 - B,TUTTI,PISA
STUDIATI CESARE ,18 - A,TUTTI,PISA
STURZO DON LUIGI ,2 - B,TUTTI,PISA
STURZO DON LUIGI ,37 - B,DAL 63 AL 95 DAL 32 AL 66,SAN GIULIANO TERME
STURZO DON LUIGI ,38 - B,DAL 1 AL 89 DAL 2 AL 64/C,SAN GIULIANO TERME
SUGHERONE ,40 - A,TUTTI,SAN GIULIANO TERME
SUPINO DAVID ,18 - A,TUTTI,PISA
SUPINO IGINO BENVENUTO ,18 - A,TUTTI,PISA
SVEVO ,15 - A,TUTTI,SAN GIULIANO TERME
SVEZIA ,4 - A,TUTTI,PISA
TABACCAIA ,38 - B,TUTTI,SAN GIULIANO TERME
TABBIANO ,38 - A,TUTTI,SAN GIULIANO TERME
TADDEI GUGLIELMO ,13 - A,TUTTI,PISA
TAGLIAMENTO ,22 - B,TUTTI,PISA
TALAMONE ,7 - B,TUTTI,PISA
TAMERICI ,5 - A,TUTTI,PISA
TANGHERONI MARCO ,4 - A,TUTTI,PISA
TANI SANTE ,24 - A,TUTTI,PISA
TANUCCI BERNARDO ,23 - A,TUTTI,PISA
TASSO TORQUATO ,15 - B,TUTTI,PISA
TASSO TORQUATO ,17 - B,TUTTI,SAN GIULIANO TERME
TAVOLERIA ,16 - B,TUTTI,PISA
TEALDI ASCANIO ,13 - B,TUTTI,PISA
TEATRO ,16 - A,TUTTI,PISA
TEGULAIA ,5 - B,TUTTI,PISA
TEMPESTI FERRUCCIO ,22 - A,TUTTI,PISA
TEMPESTI GIOVANNI BATTISTA ,18 - A,TUTTI,PISA
TEMPESTI GIOVANNI BATTISTA ,43 - A,TUTTI,SAN GIULIANO TERME
TERRACINI UMBERTO ,32 - A,TUTTI,VECCHIANO
TERROSI ,33 - B,TUTTI,VECCHIANO
TESIO FEDERICO ,30 - B,TUTTI,PISA
TEVERE ,22 - B,TUTTI,PISA
TEVERE ,41 - A,TUTTI,CALCI
TIBERIO UGO ,5 - A,SNC,PISA
TIBET ,14 - B,SNC,PISA
TICINO ,22 - B,TUTTI,PISA
TIDI ,23 - A,TUTTI,PISA
TIGLI ,26 - A,TUTTI,PISA
TIMAVO ,22 - B,TUTTI,PISA
TINTI ,16 - B,TUTTI,PISA
TIRO A SEGNO ,19 - B,TUTTI,PISA
TIRRENO ,25 - B,DAL 193 AL 393 DAL 38 AL 104,PISA
TIRRENO ,26 - A,DAL 1 AL 109 DAL 4 AL 20,PISA
TIRRENO ,26 - B,DAL 109/A AL 191 DAL 22;AL 82/V,PISA
TIRRENO ,47,347,PISA
TITIGNANO ,12 - A,TUTTI,CASCINA
TIZZONI GUIDO ,4 - A,TUTTI,PISA
TOBAGI WALTER ,14 - A,SNC,PISA
TOGLIATTI PALMIRO ,37 - A,TUTTI,SAN GIULIANO TERME
TOLONE ,43 - B,TUTTI,SAN GIULIANO TERME
TOMASI GIUSEPPE DI LAMPEDUSA ,38 - A,TUTTI,SAN GIULIANO TERME
TOMMASONE ,40 - A,TUTTI,SAN GIULIANO TERME
TONDO ,13 - B,TUTTI,PISA
TONELLI LEONILDA ,18 - A,TUTTI,PISA
TONGIORGI EZIO ,16 - B,TUTTI,PISA
TONIOLO ANTONIO RENATO ,14 - A,TUTTI,PISA
TONIOLO GIUSEPPE  Piazza,2 - B,TUTTI,PISA
TONIOLO GIUSEPPE ,43 - B,TUTTI,SAN GIULIANO TERME
TORELLO MELIANI ,12 - A,TUTTI,CASCINA
TORELLO MELIANI OVEST ,12 - A,TUTTI,CASCINA
TORGIONE TOZZETTI ,5 - B,SNC,PISA
TORINO ,20 - B,TUTTI,PISA
TORRACCIA ,34 - B,TUTTI,VECCHIANO
TORRE ,11 - A,TUTTI,CASCINA
TORRE ,42 - B,TUTTI,CALCI
TORRETTA ,26 - A,TUTTI,PISA
TORRI ,13 - B,TUTTI,PISA
TORRICELLI EVANGELISTA ,23 - B,TUTTI,PISA
TORRICELLI EVANGELISTA ,43 - B,TUTTI,SAN GIULIANO TERME
TORRINI RAMIRO MAESTRO ,1 - B,TUTTI,PISA
TORTI ,2 - B,TUTTI,PISA
TORZI ,3 - B,TUTTI,PISA
TOSCANA ,12 - A,TUTTI,CASCINA
TOSCANA ,13 - B,TUTTI,PISA
TOSCANELLI ,16 - A,TUTTI,PISA
TOSCANELLI DAL POZZO PAOLO ,28 - B,TUTTI,PISA
TOSCANINI ,22 - A,TUTTI,SAN GIULIANO TERME
TOSCO ROMAGNOLA ,11 - B,DAL 1317 AL 2169 DAL 1514 AL 2042,CASCINA
TOSCO ROMAGNOLA ,12 - A,DAL 2413 AL 2639 DAL 2236 AL 2574,CASCINA
TOSCO ROMAGNOLA ,46,1702;2394;2623,CASCINA
TOSCO ROMAGNOLA ,9 - B,DAL 2173 AL 2369,CASCINA
TOSCO ROMAGNOLA ,9 - B,DAL 1964 AL 2234,CASCINA
TOSELLI PIETRO ,3 - B,TUTTI,PISA
TOTI ENRICO ,24 - B,TUTTI,PISA
TOTINA ,10 - A,TUTTI,CASCINA
TOZZINI ETTORE ,42 - A,TUTTI,CALCI
TRAINI FRANCESCO ,22 - B,TUTTI,PISA
TRAVERSA ,16 - A,TUTTI,PISA
TRAVERSA ,35 - B,TUTTI,VECCHIANO
TRAVERSAGNA ,43 - B,TUTTI,SAN GIULIANO TERME
TRAVERSAGNA SUD ,32 - A,29,VECCHIANO
TRAVERSAGNA SUD ,32 - A,DAL 4 AL 86,VECCHIANO
TRAVERSAGNA SUD ,33 - A,DAL 7 AL 49,VECCHIANO
TRE COLLI ,41 - B,TUTTI,CALCI
TREBBIANO ,11 - B,TUTTI,CASCINA
TREBBIETTO ,41 - A,TUTTI,CALCI
TRENTO ,19 - A,TUTTI,PISA
TRIBOLATI FELICE ,18 - A,TUTTI,PISA
TRIESTE ,19 - A,TUTTI,PISA
TRIESTE ,40 - B,TUTTI,SAN GIULIANO TERME
TRIESTE ,42 - B,TUTTI,CALCI
TRILUSSA ,17 - B,TUTTI,SAN GIULIANO TERME
TRINCERE ,15 - B,TUTTI,PISA
TRONCI PAOLO ,2 - A,TUTTI,PISA
TULIPANI ,25 - B,TUTTI,PISA
TULIPANI ,36 - B,TUTTI,SAN GIULIANO TERME
TULLIO CROSIO ,28 - B,TUTTI,PISA
TUNNEL ,39 - A,TUTTI,SAN GIULIANO TERME
TURATI FILIPPO ,2 - B,TUTTI,PISA
TURATI FILIPPO ,31 - B,TUTTI,SAN GIULIANO TERME
TURBINE ,33 - A,TUTTI,VECCHIANO
TURINI IMOS ,9 - B,TUTTI,CASCINA
UFFIZI ,48,TUTTI,PISA
UMBRIA ,13 - B,TUTTI,PISA
UNGARETTI ,15 - A,TUTTI,SAN GIULIANO TERME
UNITA' ,40 - A,TUTTI,SAN GIULIANO TERME
UNITA' D'ITALIA ,34 - A,TUTTI,VECCHIANO
UNITA' D'ITALIA ,9 - B,TUTTI,CASCINA
UPEZZINGHI ,2 - B,TUTTI,PISA
USODIMARE ANTONIOTTO ,28 - B,TUTTI,PISA
VACCA BERLINGHIERI ANDREA ,18 - B,TUTTI,PISA
VAL DI VICO ,42 - A,TUTTI,CALCI
VALCAREGGI FERRUCCIO ,33 - A,TUTTI,VECCHIANO
VALGIMIGLI MANARA ,14 - A,TUTTI,PISA
VALLE ,40 - A,TUTTI,SAN GIULIANO TERME
VALLEBUIA ,41 - B,TUTTI,CALCI
VALLIGIANA ,40 - B,TUTTI,SAN GIULIANO TERME
VANNI TURINO ,19 - A,TUTTI,PISA
VANNI TURINO ,38 - B,TUTTI,SAN GIULIANO TERME
VANNINI ,25 - B,TUTTI,PISA
VASARI ,39 - B,TUTTI,SAN GIULIANO TERME
VASARI ,39 - B,TUTTI,SAN GIULIANO TERME
VASARI GIORGIO ,30 - A,TUTTI,PISA
VECCHIA BARBARICINA ,22 - B,TUTTI,PISA
VECCHIA DI MARINA ,25 - A,TUTTI,PISA
VECCHIA FIORENTINA ,9 - A,TUTTI,CASCINA
VECCHIA TRANVIA ,7 - A,TUTTI,PISA
VECCHIALIZIA ,36 - A,TUTTI,SAN GIULIANO TERME
VECCHIANI GIROLAMO ,27 - A,TUTTI,PISA
VECCHIO FRANTOIO ,40 - B,TUTTI,SAN GIULIANO TERME
VECCHIO FRANTOIO ,40 - B,TUTTI,SAN GIULIANO TERME
VECCHIO OSPIZIO ,39 - B,TUTTI,SAN GIULIANO TERME
VECELLIO TIZIANO ,30 - A,SNC,PISA
VENEZIA ,11 - A,TUTTI,CASCINA
VENEZIA ,21 - A,TUTTI,PISA
VENEZIA DI MONTEMAGNO ,42 - B,TUTTI,CALCI
VENEZIA GIULIA ,13 - B,TUTTI,PISA
VENEZIANO ANTONIO ,30 - A,TUTTI,PISA
VENTI SETTEMBRE ,35 - B,TUTTI,VECCHIANO
VENTI SETTEMBRE ,39 - B,TUTTI,SAN GIULIANO TERME
VENTI SETTEMBRE ,41 - A,TUTTI,CALCI
VENTI SETTEMBRE ,48,TUTTI,PISA
VENTICINQUE APRILE ,32 - B,TUTTI,VECCHIANO
VENTICINQUE APRILE ,40 - A,49,SAN GIULIANO TERME
VENTICINQUE APRILE ,40 - B,DAL 35 AL 55 DAL 12 AL 46/C,SAN GIULIANO TERME
VENTICINQUE APRILE ,42 - B,TUTTI,CALCI
VENTICINQUE APRILE ,43 - B,TUTTI,SAN GIULIANO TERME
VENTICINQUE APRILE ,43 - B,TUTTI,SAN GIULIANO TERME
VENTICINQUE APRILE ,5 - B,TUTTI,PISA
VENTIQUATTRO MAGGIO ,24 - A,TUTTI,PISA
VENTIQUATTRO MAGGIO ,50,55;100,PISA
VERDI GIUSEPPE ,34 - A,TUTTI,VECCHIANO
VERDI GIUSEPPE ,41 - B,TUTTI,CALCI
VERDI GIUSEPPE ,43 - A,TUTTI,SAN GIULIANO TERME
VERDI GIUSEPPE ,9 - A,TUTTI,CASCINA
VERGA ,15 - A,TUTTI,SAN GIULIANO TERME
VERGA GIOVANNI ,24 - A,TUTTI,PISA
VERITA' GIOVANNI ,6 - A,TUTTI,PISA
VERNACCINI GIUSEPPE ,16 - B,TUTTI,PISA
VERNAGALLI DOMENICO ,16 - A,TUTTI,PISA
VERRI PIETRO ,39 - B,TUTTI,SAN GIULIANO TERME
VERRI PIETRO ,9 - A,SNC,CASCINA
VESALIO ANDREA ,4 - A,TUTTI,PISA
VESPUCCI AMERIGO ,2 - A,TUTTI,PISA
VESPUCCI AMERIGO ,34 - B,TUTTI,VECCHIANO
VETTORI ,31 - A,TUTTI,SAN GIULIANO TERME
VETTORI GABRIELE ,15 - B,TUTTI,PISA
VETTORI GABRIELE ,15 - B,TUTTI,PISA
VETTOVAGLIE ,16 - B,TUTTI,PISA
VEZZOSI LUIGI ,41 - A,TUTTI,CALCI
VIACCIA ,29 - B,TUTTI,PISA
VIADOTTO ,5 - A,TUTTI,PISA
VIALE UMBERTO ,14 - A,TUTTI,PISA
VIALE UMBERTO ,49,2,PISA
VICO GIOVANNI BATTISTA ,31 - B,TUTTI,SAN GIULIANO TERME
VIETTA ,13 - B,TUTTI,PISA
VIETTA ,41 - A,TUTTI,CALCI
VIGNACCIA ,41 - B,SNC,CALCI
VIGNAGLIA ,6 - A,TUTTI,PISA
VIGNE ,38 - B,TUTTI,SAN GIULIANO TERME
VIGNOLI ,6 - B,TUTTI,PISA
VILLA ,34 - A,TUTTI,VECCHIANO
VILLA ,36 - B,TUTTI,SAN GIULIANO TERME
VILLA ,41 - B,TUTTI,CALCI
VILLA GLORI ,7 - B,TUTTI,PISA
VILLA SCORZI ,42 - A,TUTTI,CALCI
VILLANA ,41 - B,SNC,CALCI
VINCAGLIA ,6 - A,TUTTI,PISA
VINCENTE DELLA CHIOSTRA ,41 - A,TUTTI,CALCI
VIOLE ,26 - A,TUTTI,PISA
VIOLE ,39 - A,TUTTI,SAN GIULIANO TERME
VISCONTI UGONE ,21 - B,TUTTI,PISA
VISIGNANO ,12 - B,DAL 19 AL 119 DAL 28 AL 124,CASCINA
VISIGNANO ,9 - B,DAL 1 AL 9 DAL 2 AL 22,CASCINA
VITTORIO EMANUELE II ,2 - A,TUTTI,PISA
VITTORIO VENETO ,18 - B,TUTTI,PISA
VITTORIO VENETO ,37 - A,TUTTI,SAN GIULIANO TERME
VITTORIO VENETO ,42 - B,TUTTI,CALCI
VIVALDI ,43 - B,TUTTI,SAN GIULIANO TERME
VIVALDI UGOLINO E VADINO ,28 - B,TUTTI,PISA
VIVIANI ,40 - B,TUTTI,SAN GIULIANO TERME
VIVIANI GIUSEPPE ,28 - B,TUTTI,PISA
VIVIANI VASCO ,14 - B,TUTTI,PISA
VIVIANI VIVIANO ,29 - A,SNC,PISA
VOLPE GIOACCHINO ,8 - B,TUTTI,PISA
VOLPI ALESSANDRO ,17 - A,TUTTI,PISA
VOLTA ALESSANDRO ,19 - A,TUTTI,PISA
VOLTA ALESSANDRO ,35 - A,TUTTI,VECCHIANO
VOLTA ALESSANDRO ,43 - A,TUTTI,SAN GIULIANO TERME
VOLTURNO ,19 - A,TUTTI,PISA
XIMENES PADRE LEONARDO ,5 - B,TUTTI,PISA
ZAMENHOF LAZZARO LUDOVICO ,16 - A,TUTTI,PISA
ZAMENHOF LUDOVICO LAZZARO ,39 - B,TUTTI,SAN GIULIANO TERME
ZAMENHOF LUDOVICO LAZZARO ,41 - A,TUTTI,CALCI
ZERBOGLIO ENZO ,3 - A,TUTTI,PISA
ZUCCHELLI NICOLA ,1 - A,TUTTI,PISA
PASQUALE PAOLI,23 - A,TUTTI,PISA

